"Localidades";"Períodos";"Óbitos por Causas Externas ";"Taxa de Mortalidade por Causas Externas (Por cem mil habitantes)";"Óbitos por Agressões ";"Taxa de Mortalidade por Agressões (Por cem mil habitantes)";"Óbitos por Acidentes de Transportes ";"Taxa de Mortalidade por Acidentes de Transportes (Por cem mil habitantes)";"Cód. IBGE"
"Ribeirão Branco";"2014";"11";"61,61";"1";"5,6";"7";"39,2";3543006
"Ribeirão Branco";"2015";"14";"78,88";"1";"5,63";"4";"22,54";3543006
"Ribeirão Branco";"2016";"9";"50,74";"-";"-";"4";"22,55";3543006
"Ribeirão Branco";"2017";"15";"84,64";"2";"11,28";"5";"28,21";3543006
"Ribeirão Corrente";"2013";"4";"91,1";"-";"-";"2";"45,55";3543105
"Ribeirão Corrente";"2014";"-";"-";"-";"-";"-";"-";3543105
"Ribeirão Corrente";"2015";"-";"-";"-";"-";"-";"-";3543105
"Ribeirão Corrente";"2016";"2";"44,34";"1";"22,17";"-";"-";3543105
"Ribeirão Corrente";"2017";"7";"153,91";"2";"43,98";"-";"-";3543105
"Ribeirão do Sul";"2013";"1";"22,67";"-";"-";"-";"-";3543204
"Ribeirão do Sul";"2014";"3";"68,17";"1";"22,72";"-";"-";3543204
"Ribeirão do Sul";"2015";"2";"45,57";"-";"-";"2";"45,57";3543204
"Ribeirão do Sul";"2016";"3";"68,45";"1";"22,82";"-";"-";3543204
"Ribeirão do Sul";"2017";"2";"45,68";"-";"-";"-";"-";3543204
"Ribeirão dos Índios";"2013";"2";"92,12";"-";"-";"1";"46,06";3543238
"Ribeirão dos Índios";"2014";"2";"92,38";"-";"-";"-";"-";3543238
"Ribeirão dos Índios";"2015";"2";"92,59";"-";"-";"1";"46,3";3543238
"Ribeirão dos Índios";"2016";"1";"46,38";"-";"-";"-";"-";3543238
"Ribeirão dos Índios";"2017";"1";"46,45";"-";"-";"-";"-";3543238
"Ribeirão Grande";"2013";"7";"93,98";"-";"-";"5";"67,13";3543253
"Ribeirão Grande";"2014";"4";"53,64";"-";"-";"3";"40,23";3543253
"Ribeirão Grande";"2015";"4";"53,58";"3";"40,18";"-";"-";3543253
"Ribeirão Grande";"2016";"4";"53,51";"1";"13,38";"2";"26,76";3543253
"Ribeirão Grande";"2017";"2";"26,73";"-";"-";"-";"-";3543253
"Ribeirão Pires";"2013";"68";"59,13";"25";"21,74";"13";"11,3";3543303
"Ribeirão Pires";"2014";"79";"68,29";"21";"18,15";"19";"16,43";3543303
"Ribeirão Pires";"2015";"62";"53,28";"10";"8,59";"15";"12,89";3543303
"Ribeirão Pires";"2016";"53";"45,35";"9";"7,7";"12";"10,27";3543303
"Ribeirão Pires";"2017";"52";"44,29";"4";"3,41";"16";"13,63";3543303
"Ribeirão Preto";"2013";"419";"66,52";"72";"11,43";"125";"19,85";3543402
"Ribeirão Preto";"2014";"405";"63,4";"64";"10,02";"130";"20,35";3543402
"Ribeirão Preto";"2015";"373";"57,57";"72";"11,11";"81";"12,5";3543402
"Ribeirão Preto";"2016";"366";"55,89";"71";"10,84";"82";"12,52";3543402
"Ribeirão Preto";"2017";"353";"53,32";"54";"8,16";"91";"13,75";3543402
"Rifaina";"2013";"4";"116,14";"2";"58,07";"1";"29,04";3543600
"Rifaina";"2014";"2";"58,02";"-";"-";"-";"-";3543600
"Rifaina";"2015";"2";"57,97";"-";"-";"-";"-";3543600
"Rifaina";"2016";"5";"144,76";"-";"-";"1";"28,95";3543600
"Rifaina";"2017";"7";"202,43";"3";"86,76";"-";"-";3543600
"Rincão";"2013";"6";"57,51";"-";"-";"1";"9,58";3543709
"Rincão";"2014";"5";"47,89";"1";"9,58";"1";"9,58";3543709
"Rincão";"2015";"7";"67,01";"1";"9,57";"-";"-";3543709
"Rincão";"2016";"5";"47,82";"1";"9,56";"-";"-";3543709
"Rincão";"2017";"10";"95,55";"-";"-";"4";"38,22";3543709
"Rinópolis";"2013";"10";"101,39";"-";"-";"3";"30,42";3543808
"Rinópolis";"2014";"8";"81,32";"1";"10,16";"3";"30,49";3543808
"Rinópolis";"2015";"8";"81,52";"-";"-";"3";"30,57";3543808
"Rinópolis";"2016";"5";"51,05";"-";"-";"2";"20,42";3543808
"Rinópolis";"2017";"5";"51,15";"1";"10,23";"3";"30,69";3543808
"Rio Claro";"2013";"127";"66,54";"46";"24,1";"36";"18,86";3543907
"Rio Claro";"2014";"138";"71,7";"48";"24,94";"40";"20,78";3543907
"Rio Claro";"2015";"100";"51,52";"22";"11,34";"27";"13,91";3543907
"Rio Claro";"2016";"124";"63,43";"39";"19,95";"27";"13,81";3543907
"Rio Claro";"2017";"88";"44,69";"25";"12,7";"23";"11,68";3543907
"Rio das Pedras";"2013";"17";"54,76";"9";"28,99";"4";"12,89";3544004
"Rio das Pedras";"2014";"22";"69,64";"7";"22,16";"9";"28,49";3544004
"Rio das Pedras";"2015";"17";"52,87";"5";"15,55";"3";"9,33";3544004
"Rio das Pedras";"2016";"15";"46,02";"4";"12,27";"5";"15,34";3544004
"Rio das Pedras";"2017";"11";"33,29";"-";"-";"3";"9,08";3544004
"Rio Grande da Serra";"2013";"27";"59,07";"6";"13,13";"7";"15,31";3544103
"Rio Grande da Serra";"2014";"21";"45,33";"7";"15,11";"6";"12,95";3544103
"Rio Grande da Serra";"2015";"24";"51,12";"8";"17,04";"6";"12,78";3544103
"Rio Grande da Serra";"2016";"24";"50,52";"9";"18,94";"2";"4,21";3544103
"Rio Grande da Serra";"2017";"21";"43,68";"6";"12,48";"2";"4,16";3544103
"Riolândia";"2013";"5";"46,21";"-";"-";"1";"9,24";3544202
"Riolândia";"2014";"9";"82,49";"2";"18,33";"2";"18,33";3544202
"Riolândia";"2015";"5";"45,45";"-";"-";"-";"-";3544202
"Riolândia";"2016";"4";"36,09";"1";"9,02";"1";"9,02";3544202
"Riolândia";"2017";"7";"62,67";"2";"17,91";"2";"17,91";3544202
"Riversul";"2013";"2";"33,32";"-";"-";"1";"16,66";3543501
"Riversul";"2014";"5";"84,08";"1";"16,82";"1";"16,82";3543501
"Riversul";"2015";"1";"16,97";"-";"-";"-";"-";3543501
"Riversul";"2016";"6";"102,48";"1";"17,08";"1";"17,08";3543501
"Riversul";"2017";"1";"17,19";"-";"-";"-";"-";3543501
"Rosana";"2013";"11";"57,23";"3";"15,61";"5";"26,01";3544251
"Rosana";"2014";"20";"104,94";"8";"41,98";"7";"36,73";3544251
"Rosana";"2015";"12";"63,51";"1";"5,29";"5";"26,46";3544251
"Rosana";"2016";"10";"53,22";"3";"15,97";"3";"15,97";3544251
"Rosana";"2017";"9";"48,16";"-";"-";"2";"10,7";3544251
"Roseira";"2013";"9";"90,75";"1";"10,08";"6";"60,5";3544301
"Roseira";"2014";"3";"29,91";"1";"9,97";"2";"19,94";3544301
"Roseira";"2015";"8";"78,88";"-";"-";"3";"29,58";3544301
"Roseira";"2016";"7";"68,36";"2";"19,53";"3";"29,3";3544301
"Roseira";"2017";"8";"77,38";"3";"29,02";"2";"19,34";3544301
"Rubiácea";"2013";"2";"70,27";"1";"35,14";"1";"35,14";3544400
"Rubiácea";"2014";"-";"-";"-";"-";"-";"-";3544400
"Rubiácea";"2015";"-";"-";"-";"-";"-";"-";3544400
"Rubiácea";"2016";"4";"134,91";"1";"33,73";"-";"-";3544400
"Rubiácea";"2017";"-";"-";"-";"-";"-";"-";3544400
"Rubinéia";"2013";"4";"137,74";"-";"-";"1";"34,44";3544509
"Rubinéia";"2014";"2";"68,52";"-";"-";"-";"-";3544509
"Rubinéia";"2015";"3";"102,25";"-";"-";"-";"-";3544509
"Rubinéia";"2016";"2";"67,91";"-";"-";"-";"-";3544509
"Rubinéia";"2017";"1";"33,83";"-";"-";"-";"-";3544509
"Sabino";"2013";"5";"94,38";"1";"18,88";"1";"18,88";3544608
"Sabino";"2014";"6";"112,65";"1";"18,78";"3";"56,33";3544608
"Sabino";"2015";"2";"37,36";"-";"-";"-";"-";3544608
"Sabino";"2016";"4";"74,39";"1";"18,6";"2";"37,2";3544608
"Sabino";"2017";"6";"111,13";"1";"18,52";"4";"74,09";3544608
"Sagres";"2013";"-";"-";"-";"-";"-";"-";3544707
"Sagres";"2014";"1";"42,16";"-";"-";"1";"42,16";3544707
"Sagres";"2015";"-";"-";"-";"-";"-";"-";3544707
"Sagres";"2016";"3";"126,85";"-";"-";"1";"42,28";3544707
"Sagres";"2017";"-";"-";"-";"-";"-";"-";3544707
"Sales";"2013";"5";"88,57";"-";"-";"3";"53,14";3544806
"Sales";"2014";"5";"87,5";"2";"35";"1";"17,5";3544806
"Sales";"2015";"5";"86,45";"-";"-";"-";"-";3544806
"Sales";"2016";"3";"51,41";"1";"17,14";"1";"17,14";3544806
"Sales";"2017";"8";"135,85";"-";"-";"2";"33,96";3544806
"Sales Oliveira";"2013";"7";"64,4";"-";"-";"3";"27,6";3544905
"Sales Oliveira";"2014";"7";"63,78";"-";"-";"2";"18,22";3544905
"Sales Oliveira";"2015";"10";"90,23";"3";"27,07";"4";"36,09";3544905
"Sales Oliveira";"2016";"5";"44,77";"2";"17,91";"2";"17,91";3544905
"Sales Oliveira";"2017";"4";"35,54";"-";"-";"1";"8,88";3544905
"Salesópolis";"2013";"7";"43,8";"1";"6,26";"3";"18,77";3545001
"Salesópolis";"2014";"8";"49,68";"1";"6,21";"4";"24,84";3545001
"Salesópolis";"2015";"13";"80,12";"2";"12,33";"4";"24,65";3545001
"Salesópolis";"2016";"11";"67,29";"1";"6,12";"5";"30,59";3545001
"Salesópolis";"2017";"6";"36,43";"1";"6,07";"2";"12,14";3545001
"Salmourão";"2013";"1";"20,4";"1";"20,4";"-";"-";3545100
"Salmourão";"2014";"2";"40,57";"-";"-";"-";"-";3545100
"Salmourão";"2015";"5";"100,81";"-";"-";"2";"40,32";3545100
"Salmourão";"2016";"2";"40,07";"-";"-";"1";"20,04";3545100
"Salmourão";"2017";"1";"19,91";"-";"-";"-";"-";3545100
"Saltinho";"2013";"4";"54,6";"-";"-";"-";"-";3545159
"Saltinho";"2014";"3";"40,43";"1";"13,48";"2";"26,95";3545159
"Saltinho";"2015";"5";"66,52";"1";"13,3";"2";"26,61";3545159
"Saltinho";"2016";"5";"65,93";"1";"13,19";"1";"13,19";3545159
"Saltinho";"2017";"4";"52,27";"1";"13,07";"2";"26,14";3545159
"Salto";"2013";"68";"62,7";"10";"9,22";"34";"31,35";3545209
"Salto";"2014";"69";"63,02";"15";"13,7";"27";"24,66";3545209
"Salto";"2015";"46";"41,61";"9";"8,14";"17";"15,38";3545209
"Salto";"2016";"64";"57,4";"8";"7,18";"23";"20,63";3545209
"Salto";"2017";"53";"47,13";"10";"8,89";"10";"8,89";3545209
"Salto de Pirapora";"2013";"34";"82,16";"7";"16,91";"19";"45,91";3545308
"Salto de Pirapora";"2014";"17";"40,64";"-";"-";"13";"31,08";3545308
"Salto de Pirapora";"2015";"31";"73,33";"7";"16,56";"12";"28,39";3545308
"Salto de Pirapora";"2016";"23";"53,92";"5";"11,72";"7";"16,41";3545308
"Salto de Pirapora";"2017";"31";"72,02";"7";"16,26";"9";"20,91";3545308
"Salto Grande";"2013";"3";"33,82";"1";"11,27";"1";"11,27";3545407
"Salto Grande";"2014";"5";"56,18";"-";"-";"3";"33,71";3545407
"Salto Grande";"2015";"16";"179,17";"3";"33,59";"4";"44,79";3545407
"Salto Grande";"2016";"8";"89,27";"1";"11,16";"3";"33,47";3545407
"Salto Grande";"2017";"7";"77,81";"-";"-";"2";"22,23";3545407
"Sandovalina";"2013";"1";"25,97";"-";"-";"1";"25,97";3545506
"Sandovalina";"2014";"-";"-";"-";"-";"-";"-";3545506
"Sandovalina";"2015";"2";"50,51";"1";"25,25";"-";"-";3545506
"Sandovalina";"2016";"2";"49,89";"1";"24,94";"-";"-";3545506
"Sandovalina";"2017";"3";"73,91";"-";"-";"-";"-";3545506
"Santa Adélia";"2013";"9";"62,03";"2";"13,79";"3";"20,68";3545605
"Santa Adélia";"2014";"12";"82,36";"-";"-";"5";"34,32";3545605
"Santa Adélia";"2015";"13";"88,85";"-";"-";"9";"61,51";3545605
"Santa Adélia";"2016";"6";"40,86";"1";"6,81";"1";"6,81";3545605
"Santa Adélia";"2017";"8";"54,29";"-";"-";"2";"13,57";3545605
"Santa Albertina";"2013";"9";"157,59";"1";"17,51";"4";"70,04";3545704
"Santa Albertina";"2014";"5";"87,61";"1";"17,52";"2";"35,04";3545704
"Santa Albertina";"2015";"2";"35,06";"1";"17,53";"-";"-";3545704
"Santa Albertina";"2016";"3";"52,65";"1";"17,55";"-";"-";3545704
"Santa Albertina";"2017";"5";"87,86";"-";"-";"3";"52,71";3545704
"Santa Bárbara d'Oeste";"2013";"88";"48,15";"24";"13,13";"30";"16,41";3545803
"Santa Bárbara d'Oeste";"2014";"88";"47,9";"12";"6,53";"30";"16,33";3545803
"Santa Bárbara d'Oeste";"2015";"105";"56,85";"24";"13";"21";"11,37";3545803
"Santa Bárbara d'Oeste";"2016";"83";"44,75";"23";"12,4";"24";"12,94";3545803
"Santa Bárbara d'Oeste";"2017";"95";"50,99";"17";"9,13";"27";"14,49";3545803
"Santa Branca";"2013";"10";"71,99";"2";"14,4";"4";"28,8";3546009
"Santa Branca";"2014";"13";"93,3";"1";"7,18";"7";"50,24";3546009
"Santa Branca";"2015";"8";"57,23";"-";"-";"1";"7,15";3546009
"Santa Branca";"2016";"8";"57,07";"1";"7,13";"1";"7,13";3546009
"Santa Branca";"2017";"7";"49,79";"-";"-";"1";"7,11";3546009
"Santa Clara d'Oeste";"2013";"2";"96,81";"-";"-";"1";"48,4";3546108
"Santa Clara d'Oeste";"2014";"-";"-";"-";"-";"-";"-";3546108
"Santa Clara d'Oeste";"2015";"1";"48,71";"-";"-";"-";"-";3546108
"Santa Clara d'Oeste";"2016";"1";"48,92";"-";"-";"-";"-";3546108
"Santa Clara d'Oeste";"2017";"1";"49,14";"-";"-";"-";"-";3546108
"Santa Cruz da Conceição";"2013";"3";"73,06";"-";"-";"1";"24,35";3546207
"Santa Cruz da Conceição";"2014";"3";"72,41";"1";"24,14";"-";"-";3546207
"Santa Cruz da Conceição";"2015";"3";"71,77";"-";"-";"2";"47,85";3546207
"Santa Cruz da Conceição";"2016";"2";"47,47";"-";"-";"-";"-";3546207
"Santa Cruz da Conceição";"2017";"2";"47,09";"-";"-";"1";"23,55";3546207
"Santa Cruz da Esperança";"2013";"2";"100,45";"-";"-";"1";"50,23";3546256
"Santa Cruz da Esperança";"2014";"1";"49,9";"-";"-";"1";"49,9";3546256
"Santa Cruz da Esperança";"2015";"-";"-";"-";"-";"-";"-";3546256
"Santa Cruz da Esperança";"2016";"3";"147,78";"-";"-";"2";"98,52";3546256
"Santa Cruz da Esperança";"2017";"-";"-";"-";"-";"-";"-";3546256
"Santa Cruz das Palmeiras";"2013";"18";"57,91";"8";"25,74";"1";"3,22";3546306
"Santa Cruz das Palmeiras";"2014";"16";"50,81";"4";"12,7";"6";"19,05";3546306
"Santa Cruz das Palmeiras";"2015";"12";"37,61";"1";"3,13";"7";"21,94";3546306
"Santa Cruz das Palmeiras";"2016";"13";"40,3";"3";"9,3";"3";"9,3";3546306
"Santa Cruz das Palmeiras";"2017";"9";"27,59";"2";"6,13";"-";"-";3546306
"Santa Cruz do Rio Pardo";"2013";"20";"44,88";"1";"2,24";"12";"26,93";3546405
"Santa Cruz do Rio Pardo";"2014";"26";"58,05";"5";"11,16";"9";"20,09";3546405
"Santa Cruz do Rio Pardo";"2015";"29";"64,42";"3";"6,66";"13";"28,88";3546405
"Santa Cruz do Rio Pardo";"2016";"23";"50,85";"2";"4,42";"8";"17,69";3546405
"Santa Cruz do Rio Pardo";"2017";"30";"66";"-";"-";"10";"22";3546405
"Santa Ernestina";"2013";"3";"54,03";"-";"-";"1";"18,01";3546504
"Santa Ernestina";"2014";"2";"36,06";"-";"-";"1";"18,03";3546504
"Santa Ernestina";"2015";"5";"90,24";"-";"-";"1";"18,05";3546504
"Santa Ernestina";"2016";"1";"18,06";"-";"-";"1";"18,06";3546504
"Santa Ernestina";"2017";"5";"90,35";"-";"-";"3";"54,21";3546504
"Santa Fé do Sul";"2013";"24";"80,76";"3";"10,1";"10";"33,65";3546603
"Santa Fé do Sul";"2014";"25";"83,65";"1";"3,35";"9";"30,11";3546603
"Santa Fé do Sul";"2015";"28";"93,16";"1";"3,33";"8";"26,62";3546603
"Santa Fé do Sul";"2016";"18";"59,59";"2";"6,62";"5";"16,55";3546603
"Santa Fé do Sul";"2017";"19";"62,6";"3";"9,88";"3";"9,88";3546603
"Santa Gertrudes";"2013";"12";"52,25";"8";"34,83";"2";"8,71";3546702
"Santa Gertrudes";"2014";"12";"51,17";"4";"17,06";"5";"21,32";3546702
"Santa Gertrudes";"2015";"7";"29,24";"1";"4,18";"2";"8,35";3546702
"Santa Gertrudes";"2016";"11";"45,13";"4";"16,41";"3";"12,31";3546702
"Santa Gertrudes";"2017";"13";"52,38";"5";"20,15";"3";"12,09";3546702
"Santa Isabel";"2013";"23";"44,34";"5";"9,64";"7";"13,5";3546801
"Santa Isabel";"2014";"40";"76,38";"6";"11,46";"18";"34,37";3546801
"Santa Isabel";"2015";"31";"58,63";"5";"9,46";"10";"18,91";3546801
"Santa Isabel";"2016";"29";"54,4";"7";"13,13";"7";"13,13";3546801
"Santa Isabel";"2017";"32";"59,54";"7";"13,02";"9";"16,74";3546801
"Santa Lúcia";"2013";"3";"35,94";"-";"-";"3";"35,94";3546900
"Santa Lúcia";"2014";"5";"59,66";"1";"11,93";"-";"-";3546900
"Santa Lúcia";"2015";"5";"59,42";"1";"11,88";"-";"-";3546900
"Santa Lúcia";"2016";"3";"35,53";"2";"23,69";"-";"-";3546900
"Santa Lúcia";"2017";"4";"47,2";"-";"-";"-";"-";3546900
"Santa Maria da Serra";"2013";"6";"106,69";"1";"17,78";"3";"53,34";3547007
"Santa Maria da Serra";"2014";"5";"87,75";"1";"17,55";"2";"35,1";3547007
"Santa Maria da Serra";"2015";"6";"103,91";"2";"34,64";"-";"-";3547007
"Santa Maria da Serra";"2016";"2";"34,22";"2";"34,22";"-";"-";3547007
"Santa Maria da Serra";"2017";"8";"135,18";"2";"33,8";"3";"50,69";3547007
"Santa Mercedes";"2013";"-";"-";"-";"-";"-";"-";3547106
"Santa Mercedes";"2014";"1";"35,47";"-";"-";"-";"-";3547106
"Santa Mercedes";"2015";"4";"142,05";"1";"35,51";"1";"35,51";3547106
"Santa Mercedes";"2016";"1";"35,52";"-";"-";"1";"35,52";3547106
"Santa Mercedes";"2017";"1";"35,52";"-";"-";"-";"-";3547106
"Santa Rita d'Oeste";"2013";"1";"39,97";"-";"-";"-";"-";3547403
"Santa Rita d'Oeste";"2014";"1";"40,18";"-";"-";"1";"40,18";3547403
"Santa Rita d'Oeste";"2015";"3";"121,21";"-";"-";"1";"40,4";3547403
"Santa Rita d'Oeste";"2016";"1";"40,63";"-";"-";"-";"-";3547403
"Santa Rita d'Oeste";"2017";"1";"40,88";"-";"-";"-";"-";3547403
"Santa Rita do Passa Quatro";"2013";"14";"52,92";"2";"7,56";"7";"26,46";3547502
"Santa Rita do Passa Quatro";"2014";"11";"41,59";"2";"7,56";"5";"18,91";3547502
"Santa Rita do Passa Quatro";"2015";"7";"26,47";"2";"7,56";"2";"7,56";3547502
"Santa Rita do Passa Quatro";"2016";"13";"49,19";"3";"11,35";"2";"7,57";3547502
"Santa Rita do Passa Quatro";"2017";"16";"60,56";"4";"15,14";"2";"7,57";3547502
"Santa Rosa de Viterbo";"2013";"14";"57,4";"3";"12,3";"2";"8,2";3547601
"Santa Rosa de Viterbo";"2014";"12";"48,83";"4";"16,28";"2";"8,14";3547601
"Santa Rosa de Viterbo";"2015";"13";"52,5";"1";"4,04";"2";"8,08";3547601
"Santa Rosa de Viterbo";"2016";"10";"40,11";"-";"-";"3";"12,03";3547601
"Santa Rosa de Viterbo";"2017";"10";"39,85";"1";"3,98";"3";"11,95";3547601
"Santa Salete";"2013";"-";"-";"-";"-";"-";"-";3547650
"Santa Salete";"2014";"1";"69,11";"-";"-";"1";"69,11";3547650
"Santa Salete";"2015";"-";"-";"-";"-";"-";"-";3547650
"Santa Salete";"2016";"1";"69,16";"-";"-";"-";"-";3547650
"Santa Salete";"2017";"-";"-";"-";"-";"-";"-";3547650
"Santana da Ponte Pensa";"2013";"1";"62,66";"-";"-";"1";"62,66";3547205
"Santana da Ponte Pensa";"2014";"1";"63,25";"-";"-";"-";"-";3547205
"Santana da Ponte Pensa";"2015";"2";"127,71";"-";"-";"1";"63,86";3547205
"Santana da Ponte Pensa";"2016";"5";"321,54";"1";"64,31";"2";"128,62";3547205
"Santana da Ponte Pensa";"2017";"-";"-";"-";"-";"-";"-";3547205
"Santana de Parnaíba";"2013";"59";"50,18";"18";"15,31";"21";"17,86";3547304
"Santana de Parnaíba";"2014";"57";"47,2";"7";"5,8";"24";"19,87";3547304
"Santana de Parnaíba";"2015";"46";"37,08";"10";"8,06";"9";"7,26";3547304
"Santana de Parnaíba";"2016";"53";"41,82";"7";"5,52";"15";"11,83";3547304
"Santana de Parnaíba";"2017";"62";"47,88";"11";"8,49";"12";"9,27";3547304
"Santo Anastácio";"2013";"22";"108,14";"3";"14,75";"9";"44,24";3547700
"Santo Anastácio";"2014";"6";"29,56";"1";"4,93";"1";"4,93";3547700
"Santo Anastácio";"2015";"9";"44,43";"-";"-";"3";"14,81";3547700
"Santo Anastácio";"2016";"10";"49,43";"1";"4,94";"4";"19,77";3547700
"Santo Anastácio";"2017";"8";"39,59";"-";"-";"3";"14,85";3547700
"Santo André";"2013";"373";"54,71";"101";"14,81";"66";"9,68";3547809
"Santo André";"2014";"391";"57,19";"107";"15,65";"79";"11,55";3547809
"Santo André";"2015";"339";"49,45";"70";"10,21";"49";"7,15";3547809
"Santo André";"2016";"395";"57,48";"91";"13,24";"64";"9,31";3547809
"Santo André";"2017";"362";"52,55";"63";"9,15";"28";"4,06";3547809
"Santo Antônio da Alegria";"2013";"7";"109,29";"-";"-";"2";"31,23";3547908
"Santo Antônio da Alegria";"2014";"2";"31,05";"1";"15,53";"-";"-";3547908
"Santo Antônio da Alegria";"2015";"3";"46,32";"-";"-";"-";"-";3547908
"Santo Antônio da Alegria";"2016";"3";"46,1";"-";"-";"-";"-";3547908
"Santo Antônio da Alegria";"2017";"4";"61,15";"-";"-";"2";"30,58";3547908
"Santo Antônio de Posse";"2013";"18";"84,42";"5";"23,45";"4";"18,76";3548005
"Santo Antônio de Posse";"2014";"12";"55,66";"3";"13,91";"5";"23,19";3548005
"Santo Antônio de Posse";"2015";"30";"137,61";"9";"41,28";"2";"9,17";3548005
"Santo Antônio de Posse";"2016";"9";"40,9";"2";"9,09";"4";"18,18";3548005
"Santo Antônio de Posse";"2017";"10";"45,02";"3";"13,5";"1";"4,5";3548005
"Santo Antônio do Aracanguá";"2013";"5";"63,91";"-";"-";"1";"12,78";3548054
"Santo Antônio do Aracanguá";"2014";"4";"50,68";"-";"-";"4";"50,68";3548054
"Santo Antônio do Aracanguá";"2015";"6";"75,36";"1";"12,56";"-";"-";3548054
"Santo Antônio do Aracanguá";"2016";"5";"62,35";"2";"24,94";"-";"-";3548054
"Santo Antônio do Aracanguá";"2017";"6";"74,29";"-";"-";"1";"12,38";3548054
"Santo Antônio do Jardim";"2013";"6";"101,73";"1";"16,95";"2";"33,91";3548104
"Santo Antônio do Jardim";"2014";"5";"85,01";"1";"17";"1";"17";3548104
"Santo Antônio do Jardim";"2015";"2";"34,09";"-";"-";"2";"34,09";3548104
"Santo Antônio do Jardim";"2016";"4";"68,28";"-";"-";"2";"34,14";3548104
"Santo Antônio do Jardim";"2017";"2";"34,19";"-";"-";"-";"-";3548104
"Santo Antônio do Pinhal";"2013";"3";"45,99";"-";"-";"1";"15,33";3548203
"Santo Antônio do Pinhal";"2014";"4";"61,19";"-";"-";"1";"15,3";3548203
"Santo Antônio do Pinhal";"2015";"4";"61,08";"-";"-";"1";"15,27";3548203
"Santo Antônio do Pinhal";"2016";"3";"45,7";"2";"30,46";"-";"-";3548203
"Santo Antônio do Pinhal";"2017";"2";"30,4";"-";"-";"2";"30,4";3548203
"Santo Expedito";"2013";"4";"140,15";"-";"-";"1";"35,04";3548302
"Santo Expedito";"2014";"2";"69,61";"1";"34,81";"-";"-";3548302
"Santo Expedito";"2015";"1";"34,59";"-";"-";"-";"-";3548302
"Santo Expedito";"2016";"3";"103,2";"-";"-";"-";"-";3548302
"Santo Expedito";"2017";"3";"102,63";"-";"-";"-";"-";3548302
"Santópolis do Aguapeí";"2013";"4";"90,95";"-";"-";"4";"90,95";3548401
"Santópolis do Aguapeí";"2014";"5";"112,64";"1";"22,53";"3";"67,58";3548401
"Santópolis do Aguapeí";"2015";"2";"44,62";"-";"-";"2";"44,62";3548401
"Santópolis do Aguapeí";"2016";"4";"88,52";"-";"-";"2";"44,26";3548401
"Santópolis do Aguapeí";"2017";"4";"87,82";"-";"-";"-";"-";3548401
"Santos";"2013";"244";"57,83";"51";"12,09";"49";"11,61";3548500
"Santos";"2014";"209";"49,44";"34";"8,04";"49";"11,59";3548500
"Santos";"2015";"209";"49,34";"35";"8,26";"34";"8,03";3548500
"Santos";"2016";"212";"49,93";"25";"5,89";"34";"8,01";3548500
"Santos";"2017";"209";"49,1";"17";"3,99";"23";"5,4";3548500
"São Bento do Sapucaí";"2013";"7";"66,82";"1";"9,55";"1";"9,55";3548609
"São Bento do Sapucaí";"2014";"3";"28,63";"1";"9,54";"-";"-";3548609
"São Bento do Sapucaí";"2015";"7";"66,79";"-";"-";"2";"19,08";3548609
"São Bento do Sapucaí";"2016";"3";"28,6";"-";"-";"1";"9,53";3548609
"São Bento do Sapucaí";"2017";"11";"104,75";"-";"-";"2";"19,05";3548609
"São Bernardo do Campo";"2013";"375";"48,03";"95";"12,17";"94";"12,04";3548708
"São Bernardo do Campo";"2014";"411";"52,28";"87";"11,07";"111";"14,12";3548708
"São Bernardo do Campo";"2015";"319";"40,31";"88";"11,12";"62";"7,83";3548708
"São Bernardo do Campo";"2016";"292";"36,7";"73";"9,18";"61";"7,67";3548708
"São Bernardo do Campo";"2017";"306";"38,27";"40";"5";"34";"4,25";3548708
"São Caetano do Sul";"2013";"72";"47,99";"8";"5,33";"13";"8,66";3548807
"São Caetano do Sul";"2014";"49";"32,6";"5";"3,33";"16";"10,64";3548807
"São Caetano do Sul";"2015";"59";"39,18";"10";"6,64";"5";"3,32";3548807
"São Caetano do Sul";"2016";"56";"37,15";"7";"4,64";"7";"4,64";3548807
"São Caetano do Sul";"2017";"73";"48,39";"7";"4,64";"6";"3,98";3548807
"São Carlos";"2013";"145";"63,44";"24";"10,5";"47";"20,56";3548906
"São Carlos";"2014";"151";"65,4";"32";"13,86";"45";"19,49";3548906
"São Carlos";"2015";"136";"58,31";"21";"9";"43";"18,44";3548906
"São Carlos";"2016";"139";"59,12";"32";"13,61";"28";"11,91";3548906
"São Carlos";"2017";"139";"58,66";"24";"10,13";"23";"9,71";3548906
"São Francisco";"2013";"1";"36,25";"1";"36,25";"-";"-";3549003
"São Francisco";"2014";"3";"109,25";"-";"-";"3";"109,25";3549003
"São Francisco";"2015";"2";"73,13";"-";"-";"-";"-";3549003
"São Francisco";"2016";"1";"36,72";"-";"-";"-";"-";3549003
"São Francisco";"2017";"4";"147,49";"-";"-";"1";"36,87";3549003
"São João da Boa Vista";"2013";"66";"77,79";"11";"12,96";"12";"14,14";3549102
"São João da Boa Vista";"2014";"56";"65,67";"7";"8,21";"20";"23,46";3549102
"São João da Boa Vista";"2015";"48";"56,01";"1";"1,17";"16";"18,67";3549102
"São João da Boa Vista";"2016";"55";"63,94";"4";"4,65";"13";"15,11";3549102
